ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
14787,painfully,ˈpānfəlē,adverb,fájdalmasan,,
14788,painkiller,ˈpānˌkilər,noun,fájdalomcsillapító,analgesic|anodyne|lenitive|paregoric,"fájdalomcsillapító szer"
14789,painless,ˈpānləs,adjective,fájdalommentes,acheless|analgesic,
14790,painlessly,,,fájdalommentesen,,
14791,painstaking,"ˈpānzˌtākiNG,ˈpānˌstākiNG",adjective,fáradhatatlan,tireless|weariless|sleepless|indefatigable|unwearying|precise|exact|prim|smug,precíz|pedáns
14792,paint,pānt,noun,festék,dye|color|pigment|colour|painting|dyeing,festés
14793,painting,ˈpāntiNG,noun,festés,dyeing|paint|picture,festészet|festmény
14794,pair,pe(ə)r,noun,pár,twain,
14795,pal,pal,noun,haver,buddy|dude|crony|sidekick|dick|buddy|mate|chum|chum|pard,cimbora|pajtás
14796,"pal around",,,kövesse,,
14797,palace,ˈpalis,noun,palota,,"királyi rezidencia"
14798,paladin,ˈpalədin,noun,levente,,
14799,palatability,,,ízt,,
14800,palatable,ˈpalətəbəl,adjective,ízletes,tasty|savory|toothsome|savoury|pleasant|pleasing|agreeable|comfortable|pleasurable|tasteful,kellemes|jóízű
14801,palatableness,,,palatableness,,
14802,palatably,palatabalay,,Pltbly,,
14803,palatial,pəˈlāSHəl,adjective,fejedelmi,princely|regal|monumental|colossal,nagyszabású
14804,palatially,,,palatially,,
14805,palaver,"-ˈläv-,pəˈlavər",noun,fecsegés,cackle|tattle|twaddle|gab|chat|discussion|interview|conversation|talk-over|flattery|adulation|taffy|coaxing|sawder,megbeszélés|hízelgés
14806,pale,pāl,adjective,sápadt,white|pallid|wan|blank|wan|blanch|bloodless,halvány
14807,paled,,verb,elsápadt,pale,elsápaszt
14808,paleoconservative,,,paleoconservative,,
14809,palisade,ˌpaləˈsād,noun,palánk,plank|paling|pale,
14810,pall,pôl,noun,takaró,blanket|cover|rug|cloak|mantle,szemfedél|köpönyeg
14811,palladium,pəˈlādēəm,noun,palládium,fuse|guarantee|assurance|safeguard|bond,biztosíték
14812,palliate,ˈpalēˌāt,verb,enyhít,relieve|alleviate|soothe|ease|mitigate|soothe|assuage|attenuate|mitigate|salve|excuse|exculpate,csillapít|menteget
14813,pallid,ˈpalid,adjective,sápadt,pale|white|wan|blank|lack-luster|paly|livid|sallow|colorless,fakó|fénytelen
14814,palm,pä(l)m,noun,tenyér,"flat of the hand",pálma|marok
14815,"palm off",,verb,elsóz,oversalt,
14816,palmy,,,pálmafák,,
14817,palooka,,,palooka,,
14818,palpable,ˈpalpəbəl,adjective,kézzelfogható,evident|concrete|tactile|perceptible|sensible|tangible|touchable,érezhető|megfogható
14819,palpitate,ˈpalpiˌtāt,verb,lüktet,ripple|pulsate|beat|throb|pound|pitter-patter,dobog
14820,palpitation,ˌpalpiˈtāSHən,noun,remegés,pounding|throb|beat|pulse|chunking|tremor|trembling|quake|tremble|dither,dobogás
14821,palsy,ˈpôlzē,noun,bénulás,paralysis|crippling|paralysis,paralízis|szélütés
14822,palter,ˈpôltər,verb,köntörfalaz,,
14823,paltry,ˈpôltrē,adjective,csekély,slight|meager|trifling|petty|meagre|worthless|valueless|cheap|off-cast|feckless,értéktelen
14824,pampa,,,Pampa,,
14825,pamper,ˈpampər,verb,elkényeztet,indulge|coddle|spoil|feather-bed|cherish|cocker|fondle|pet|hug|wet-nurse,dédelget|babusgat
14826,pamphlet,ˈpamflit,noun,röpirat,dissertation|treatise|essay|discussion|tractate,vitairat|értekezés
14827,pan,pan,noun,Pán,"frying pan|skillet|griddle|stewpan|stewpot|saucepan|casserole",serpenyő|lábas
14828,"pan out",,verb,kihúzza,,"nem fog működni|nem fog sikerülni"
14829,panacea,ˌpanəˈsēə,noun,csodaszer,cure-all|heal-all|nostrum,"általános gyógyszer"
14830,pancake,ˈpanˌkāk,noun,palacsinta,crepe|flapjack|griddlecake|slapjack,
14831,pandemonium,ˌpandəˈmōnēəm,noun,zűrzavar,confusion|mess|chaos|clutter|turbulence|hell|inferno|Gehenna,pokol
14832,pander,ˈpandər,noun,cinkos,matchmaker|pimp|procurer,kerítő
14833,panegyric,ˌpanəˈjirik,noun,dicshimnusz,eulogy,
14834,panel,ˈpanl,noun,panel,"commission|committee|board|switchboard|board|junction board|instrument panel","bizottság|kapcsolótábla|fatábla|falburkoló lap"
14835,"panel discussion",,,panelbeszélgetés,,
14836,pang,,,több,,
14837,panhandler,,noun,koldus,beggar|mendicant|mumper,
14838,panic,ˈpanik,noun,pánik,stampede,riadalom
14839,panorama,"-ˈrämə,ˌpanəˈramə",noun,panoráma,,körkép
14840,panoramic,ˌpanəˈramik,adjective,körképszerű,,
14841,pant,pant,verb,liheg,gasp|heave|wheeze,zihál
14842,"pant after",,,utána,,
14843,pantaloons,,noun,pantalló,trousering,hosszúnadrág
14844,panther,ˈpanTHər,noun,párduc,leopard|leopard|pard|puma|cougar,leopárd|puma
14845,pantomime,ˈpantəˌmīm,noun,pantomim,mime|mummery,némajáték
14846,pantomimist,,,pantomimist,,
14847,pantry,ˈpantrē,noun,éléskamra,storeroom|larder,
14848,pants,pants,noun,nadrág,trousers|slacks|inexpressibles,
14849,papa,ˈpäpə,noun,papa,daddy|dad,apuka
14850,paper,ˈpāpər,noun,papír,"study|treatise|monograph|dissertation|test|test paper|document|munition|file|document",tanulmány|dolgozat|okmány|ügyirat
14851,"paper over",,,papír,,
14852,paper-thin,,,"papír vékony",,
14853,papule,ˈpapˌyo͞ol,noun,pattanás,acne|pimple,
14854,par,,,által,,
14855,"par excellence",,,"par excellence",,
14856,parable,ˈparəbəl,noun,példázat,allegory|exemplification|adage,példabeszéd
14857,parade,pəˈrād,noun,felvonulás,decoration|ornament|fallals|inspection|survey|review|visitation|muster|alignment|line-up,dísz|díszszemle|szemle|mutogatás|csapatszemle|sorakozás|felállás
14858,paradigmatic,ˌparədigˈmatik,,paradigmatikus,,
14859,paradise,ˈparəˌdīs,noun,paradicsom,"tomato|Eden|love apple",mennyország
14860,paradox,ˈparəˌdäks,noun,paradoxon,,"látszólagos ellentmondás"
14861,paragon,"-gən,ˈparəˌgän",noun,eszménykép,pattern,mintakép
14862,parallel,"-ləl,ˈparəˌlel",adverb,párhuzamos,"in parallel",párhuzamosan
14863,parallelism,ˈparəlelˌizəm,noun,párhuzamosság,,
14864,paralysis,pəˈraləsis,noun,bénulás,palsy|crippling|palsy,paralízis
14865,paralytic,ˌparəˈlitik,adjective,paralitikus,lame|gammy,béna
14866,paralyze,ˈparəˌlīz,verb,paralizál,hamstring|cripple|lame|benumb|palsy|cramp|paralyse|paralyse,megbénít|bénít
14867,paralyzed,ˈparəˌlīzd,adjective,bénult,palsied|paralysed|frozen|numb|paralysed,dermedt
14868,paramount,ˈparəˌmount,adjective,legfőbb,supreme|chief|foremost|cardinal|topmost|top|uppermost|upmost|superlative,legfelső
14869,paramountcy,,,elsődlegessége,,
14870,paranormal,ˌparəˈnôrməl,,paranormális,,
14871,paraphernalia,ˌparəfə(r)ˈnālyə,noun,"cucc, felszerelés",,"női szabadvagyon"
14872,paraphrase,ˈparəˌfrāz,noun,parafrázis,,"magyarázó körülírás"
14873,parasite,ˈparəˌsīt,adjective,parazita,parasitic|parasitical,élősdi|ingyenélő
14874,parboil,ˈpärˌboil,verb,túlhevít,superheat,"félig főz"
14875,parcel,ˈpärsəl,noun,csomag,plot|package|luggage|pack|packet|bundle|part|section|share|piece|element,parcella|rész
14876,"parcel out",,verb,feldarabol,dismember|spade|scarf|log|disarticulate,
14877,"parcel post",,noun,csomagposta,,
14878,parch,,,tisztelet,,
14879,pardon,ˈpärdn,verb,Bocsánat,forgive|excuse|remit|condone,megbocsát
14880,pardonable,ˈpärdn-əbəl,adjective,menthető,excusable|forgivable|remissible|venial,megbocsátható
14881,pare,,,"Úgy tűnik,",,
14882,parentage,"ˈpar-,ˈpe(ə)rəntij",noun,szülők,origin|origins|provenance|pedigree|descent,származás
14883,parenthesis,pəˈrenTHəsis,noun,zárójel,bracket,
14884,parenthood,"ˈpar-,ˈpe(ə)rəntˌho͝od",noun,apaság,paternity|fatherhood|motherhood|maternity,anyaság
14885,parenting,,,nevelés,,
14886,pariah,pəˈrīə,noun,pária,,
14887,parity,ˈparitē,noun,paritás,equality|equivalence|equivalency|adequation,egyenlőség|egyenértékűség|erőegyensúly
14888,park,pärk,noun,park,fleet|grove|bosket|boscage,liget|díszkert
14889,parley,Pāralē'i,,"Ha lehetséges",,
14890,parliament,ˈpärləmənt,noun,parlament,"parliament building",országgyűlés
14891,parlor,ˈpärlər,noun,társalgó,"drawing room|combination room|parlour|parlour|salon",fogadószoba
14892,parlous,ˈpärləs,adjective,veszélyes,dangerous|hazardous|unsafe|perilous|risky|dangerous|perilous|daring|presumptuous|brave|adventurous|valiant,veszedelmes|merész
14893,parochial,pəˈrōkēəl,adjective,helyi,local|topical|provincial|endemic|vicarial,plébániai|egyházközségi
14894,parody,ˈparədē,noun,paródia,travesty|pastiche|counterfeit|artificial|echo,utánzat
14895,paroxysm,ˈparəkˌsizəm,noun,roham,rush|attack|fit|assault|storm|peak|height|climax|zenith|vertex|frenzy|fury,tetőpont|őrjöngés
14896,paroxysmal,,adjective,"rohamokban fellépő",,
14897,parrot,ˈparət,noun,papagáj,lory,
14898,parsimonious,ˌpärsəˈmōnēəs,adjective,takarékos,economical|thrifty|frugal|sparing|chary|miser|miserly|avaricious|penurious,fösvény
14899,parsimony,ˈpärsəˌmōnē,noun,takarékosság,thrift|frugality|sparing|husbandry|avarice|miserliness,fösvénység
14900,part,pärt,noun,rész,"section|share|piece|element|division|fixture|piece part|role|function",alkatrész|szerep
14901,partake,pärˈtāk,verb,részesülünk,share,megoszt
14902,"partake of",,,"vegyen részt",,
14903,partaker,,noun,részese,customer|buyer|taker|bargainee,vevő
14904,"parti pris",,,előítélet,,
14905,partial,ˈpärSHəl,adjective,részleges,particular|fractional,parciális
14906,partiality,ˌpärSHēˈalitē,noun,elfogultság,prejudice|prepossession|favor|predilection|favour,részrehajlás
14907,partially,ˈpärSHəlē,adverb,részben,part|partly|parcel,részlegesen|elfogultan|részlehajlóan
14908,participant,pärˈtisəpənt,noun,résztvevő,participator,
14909,participate,pärˈtisəˌpāt,verb,"részt venni","take part|attend|engage in|share|sit in","részt vesz|közreműködik"
14910,participator,,noun,résztvevő,participant,
14911,particle,ˈpärtikəl,noun,részecske,molecule|atom|mote|grain|granule,szemcse
14912,particular,pə(r)ˈtikyələr,adjective,különös,strange|peculiar|extraordinary|quaint|fanciful|individual|proper|particularistic|special|specific|especial|supernumerary|single|solo|special|individual|personal|especial|substantive|accurate|exact|precise|punctual|strict|partial|fractional|meticulous|detailed|exhaustive|libertine,"sajátos|különleges|egyes|külön|speciális|egyéni|pontos|részleges|aprólékos|minden részletre kiterjedő|részbeli|rendkívüli szokatlan|szabados"
14913,particularity,pə(r)ˌtikyəˈlaritē,noun,sajátosság,specificity|peculiarity|nature|specialty|speciality,
14914,particularized,,adjective,részletezett,,
14915,particularly,pə(r)ˈtikyələrlē,adverb,különösen,"in particular|specially|peculiarly|uncommonly|mainly|especially|mostly|chiefly",főleg|főképpen
14916,partier,,,tételek,,
14917,parting,ˈpärtiNG,noun,elválás,divorce|split-up|farewell|goodbye|departure|quietus|kermis,búcsú
14918,partisan,ˈpärtəzən,noun,partizán,"guerilla|guerrilla|devotee|follower|member of the party|adherent",híve|párttag
14919,partisanship,ˈpärtəzənˌSHip,noun,"feltétlen támogatás",,
14920,partition,"pärˈtiSHən,pər-",verb,feloszt,"divide|apportion|parcel|distribute|share out|distribute|decentralize|hand out|divide|mete",szétoszt
14921,partizan,,,partizán,,
14922,partly,ˈpärtlē,adverb,részben,"part|partially|parcel|on the one hand",egyrészt|részint
14923,partner,ˈpärtnər,noun,partner,bedfellow|mate|fellow|companion|associate|adjunct|copartner|sidekick,társ|üzlettárs|részes|társtag
14924,partnership,ˈpärtnərˌSHip,noun,társaság,company|companionship|society|firm|party|copartnership|cooperation|coalition|confederation,"társas viszony|szövetkezés"
14925,parturition,ˌpärCHo͝oˈriSHən,noun,szülés,"child-birth|birth|giving birth|labor|accouchement|labor|travail|labor pains|pain|labour",vajúdás
14926,partway,"ˈpärtˈwā,ˈpärtˌwā",,partway,,
14927,party,ˈpärtē,noun,party,half|company|companionship|society|firm|partnership|client|get-together|gathering|clubbing|function,fél|párt|társaság|ügyfél|összejövetel
14928,"party pooper",,,"party pooper",,
14929,partyer,,,partyer,,
14930,partygoer,ˈpärtēˌgōər,,partygoer,,
14931,parvenu,,,újgazdag,,
14932,pasquinade,,,gúnyirat,,
14933,pass,pas,noun,elhalad,"saddle|ghat|card|certificate|license|permit|licence|narrow|defile|glen|mountain pass|license|permission|permit|authority|clearance",hágó|igazolvány|hegyszoros|engedély|levizsgázás
14934,"pass away",,verb,elmúlik,elapse|die,eltölt|elhuny
14935,"pass for",,verb,át,regard,"gondolják vminek|tartják vminek"
14936,"pass off",,verb,"hagyja el",disappear|vanish,lebonyolódik|eltűnik
14937,"pass on",,verb,továbbít,"transmit|transit|send on",továbbad|továbbhalad
14938,"pass out",,verb,kidől,"go out|die|decease|expire|leave|go away|go off|depart|go with",kimegy|meghal|elmegy
14939,"pass over",,verb,áthalad,"traverse|overpass|go through|pass through|pass|overpass|pass|hand over|hand|impart|give up",átmegy|átad
14940,"pass up",,verb,"lemond valamiről","mail|give up|abandon|waive|give in|surrender|part with|relinquish|abnegate|waive","felad|elszalaszt vmit"
