ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
1,86,,,86,,
2,"a la mode",,,divatos,,
3,"a priori",,,"a priori",,
4,a1,,,a1,,
5,aback,əˈbak,adverb,hátra,back|behind|rearwards|backwards,visszafelé
6,abaft,əˈbaft,adverb,"hajó fara felé",,
7,abandon,əˈbandən,verb,elhagyott,"forsake|leave|omit|leave behind|desert|mail|give up|waive|give in|relinquish|hand down|give up|radio","elhagy|felad|letesz valamiről|lead"
8,abandoned,əˈbandənd,adjective,elhagyatott,deserted|desolate|neglected|forlorn|lorn|profligate|lewd,feslett
9,abandonment,əˈbandənmənt,noun,lemondás,resignation|renunciation|waiver|renouncement|abdication,elhagyás
10,abase,əˈbās,verb,megaláz,humiliate|humble|abject,
11,abash,Ābāsa,,Lakóhely,,
12,abashment,,noun,zavar,confusion|embarrassment|difficulties|jam|perplexity,
13,abate,əˈbāt,verb,érvénytelenít,decrease|reduce|diminish|lower|cut|invalidate|void|cancel|nullify|annul,csökkent
14,abatement,əˈbātmənt,noun,csökkentés,"reduction|reducing|mitigation|cut|cutting down|invalidation|annulment|abolishment|avoidance|reversal|complicity",érvénytelenítés|bűnpártolás
15,abbey,ˈabē,noun,apátság,,
16,abbreviate,əˈbrēvēˌāt,verb,rövidít,abridge|shorten|curtail,
17,abbreviation,əˌbrēvēˈāSHən,noun,rövidítés,abridgment|abridgement|redaction|contraction,
18,abdicate,ˈabdiˌkāt,verb,lemond,"resign|renounce|give up|forgo|disclaim|mail|give up|abandon|waive|give in",felad
19,abdomen,"abˈdōmən,ˈabdəmən",noun,has,belly|tummy|pod|paunch|venter,potroh
20,abduct,abˈdəkt,verb,elrabol,rape|hijack|steal|raven,
21,abduction,abˈdəkSHən,noun,emberrablás,kidnapping,
22,abecedarian,ˌābēsēˈde(ə)rēən,adjective,betűrendes,alphabetic|alphabetical|basic|fundamental|essential|elementary|radical,alapvető
23,aberrant,"əˈber-,ˈabərənt",adjective,aberrált,,megtévedt|eltévedt
24,aberrated,,,aberrált,,
25,aberration,ˌabəˈrāSHən,noun,eltérés,deviation|difference|discrepancy|divergence|variation,"rendellenes fejlődés"
26,aberrational,,,aberrational,,
27,abet,əˈbet,verb,felbujt,suborn,
28,abetment,,,abetment,,
29,abetter,,,jobb,,
30,abettor,,noun,bűnsegéd,,
31,abeyance,əˈbāəns,noun,felfüggesztve,,"hatályon kívül helyezve"
32,abhor,abˈhôr,verb,gyűlöl,hate|loathe|detest|abominate,
33,abhorrence,"-ˈhär-,abˈhôrəns",noun,gyűlölet,hate|hatred|rancor|detestation|rancour|disgust|loathing|nausea|repugnance|abomination,undor
34,abhorrent,"-ˈhär-,abˈhôrənt",adjective,gyűlöletes,hateful|detestable|loathsome|loathful|invidious,
35,abidance,,noun,tartózkodás,stay|residence|staying|reticence|abstention,
36,abide,əˈbīd,verb,betartja,stay|dwell|beware|bear|tolerate|endure|sustain|suffer,tartózkodik|elvisel|bevár
37,abiding,əˈbīdiNG,adjective,maradandó,lasting|imperishable|undying|indefectible|deathless,
38,ability,əˈbilitē,noun,képesség,capability|facility|calibre|talent|gift|faculty|aptitude|art,tehetség
39,abject,"abˈjekt,ˈabˌjekt",adjective,siralmas,deplorable|lamentable|lugubrious|piteous|dungy,alávaló
40,abjection,,noun,megalázás,humiliation|mortification,
41,abjectly,,,aljasul,,
42,abjure,abˈjo͝or,verb,"esküvel tagad",forswear,
43,ablaze,əˈblāz,adjective,lángoló,flaming|blazing|flamy|flaring|aglow|excited|hectic|jumpy|agog|flurried,"izgatott|lángban álló|lángvörös"
44,able,ˈābəl,adjective,képes,capable|illustrated|susceptible|clever|skillful|skilful|deft|good,ügyes
45,able-bodied,,adjective,"fizikailag erős",strong|muscular,
46,ably,ˈāblē,adverb,ügyesen,capably|masterly,
47,abnegate,,,"megtagadja önmagát",,
48,abnegation,ˌabniˈgāSHən,noun,önmegtagadás,self-denial|self-sacrifice|self-renunciation|self-effacement|resignation|renunciation|waiver|abandonment|renouncement,lemondás
49,abnormal,abˈnôrməl,adjective,rendellenes,irregular|atypical|anomalous,
50,abnormality,ˌabnôrˈmalitē,noun,rendellenesség,anomaly|irregularity|monstrosity|enormity|atrocity|frightfulness,szörnyűség
51,abode,əˈbōd,noun,lakóhely,residence|domicile|home|habitation|house,
52,aboil,,,Megszüntettem,,
53,abolish,əˈbäliSH,verb,megszüntet,"do away|wipe out|cancel|obliterate|terminate|discontinue|cease|do away with|abrogate",eltöröl
54,abolishment,,noun,eltörlése,invalidation|annulment|avoidance|reversal|rescission,érvénytelenítés
55,abolition,ˌabəˈliSHən,noun,eltörlés,cancellation|abrogation|obliteration|wipe|liquidation|removal,megszüntetés
56,abominable,əˈbäm(ə)nəbəl,adjective,utálatos,hateful|detestable|loathsome|odious|nasty|hideous|odious|execrable|nauseous,undok
57,abominate,əˈbäməˌnāt,verb,utál,hate|detest|loathe|nauseate|execrate|hate|loathe|detest|abhor,gyűlöl
58,abomination,əˌbäməˈnāSHən,noun,utálat,hatred|loathing|dislike|detestation|distaste|disgust|loathing|abhorrence|nausea|repugnance,undor
59,aboriginal,ˌabəˈrijənl,noun,bennszülött,native|denizen|native,őslakó
60,aborigine,ˌabəˈrijənē,,aborigine,,
61,aborning,,,aborning,,
