ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
1011,arduously,,,arduously,,
1012,area,ˈe(ə)rēə,noun,terület,zone|territory|region|grounds|ground|district|zone|section|locality|bar|band|lane|strip|stripe|platoon|section|phase|paragraph|period|quarters|dorm|dormitory|place,körzet|körzeti|sáv|szakasz|körlet|mellék
1013,arena,əˈrēnə,noun,küzdőtér,"lists|crew space|fighting compartment",
1014,argentine,"-ˌtēn,ˈärjənˌtīn",noun,argentin,Argentinean,
1015,argosy,ˈärgəsē,noun,flotta,fleet|navy|ship|boat|craft|keel|prow,hajó
1016,argot,,,tolvajnyelv,,
1017,arguable,ˈärgyo͞oəbəl,adjective,vitatható,debatable|questionable|disputable,
1018,argue,ˈärgyo͞o,verb,érvel,"bring to reason|dispute|debate|quarrel|wrangle|contend|dispute|oppugn|impugn",vitatkozik|vitat
1019,arguer,,,vitatkozó,,
1020,argufier,,,argufier,,
1021,argufy,ˈärgyəˌfī,,argufy,,
1022,argument,ˈärgyəmənt,noun,érv,"reasoning|argumentation|debate|dispute|discussion|controversy|quarrel|topic|theme|subject|subject matter|text",érvelés|vita|téma
1023,argumentation,ˌärgyəmənˈtāSHən,noun,érvelés,demonstration|documentation,bizonyítás
1024,argumentative,ˌärgyəˈmentətiv,adjective,veszekedős,petulant,
1025,argus-eyed,ˈärgəsˌīd,adjective,"Árgus szemű",Argus-eyed,
1026,arid,ˈarid,adjective,száraz,dry|anhydrous|stale|droughty|prosaic,
1027,arise,əˈrīz,verb,felmerülhet,"originate|hail from|resurrect|get up|revolt",ered|feltámad|felkel
1028,aristocracy,ˌariˈstäkrəsē,noun,arisztokrácia,,
1029,aristocrat,əˈristəˌkrat,noun,arisztokrata,,
1030,aristocratic,əˌristəˈkratik,adjective,főnemesi,,
1031,arithmetic,,noun,számtan,,
1032,arm,ärm,noun,kar,"handle|chorus|weapon|arms|branch|combat arm|wing|flank|vane|pinion|lap|branching|junction|fork|bifurcation|ramification|handle|lever|knob|holder|pull",élesít|fegyver|fegyvernem|szárny|elágazás|fogantyú|harceszköz
1033,armada,ärˈmädə,noun,armada,fleet,hajóhad
1034,armature,"-ˌCHo͝or,ˈärməCHər",noun,forgórész,arming|rotor|circumvolution,tekercselés
1035,"armed forces",,noun,"fegyveres erők","armed services|military power|army|the military|soldiery|military personnel",katonaság
1036,armistice,ˈärməstis,noun,fegyverszünet,truce|cease-fire|truce,tűzszünet
1037,armor,ˈärmər,noun,páncél,"mail|cuirass|armour|armor plating|armour|armour-plating|arms|arming|armament|weaponry|arsenal|harness|armour|armour|armour","páncélzat|fegyverzet|vért|páncélozott|páncélos csapatok"
1038,armory,ˈärmərē,noun,fegyvertár,"armoury|gun room|pod|armoury|arsenal|arsenal|armoury|heraldry|armoury",fegyvergyár|fegyverraktár|címertan
1039,arm-twisting,,noun,kar-csavarás,"arm twisting","erőszak alkalmazása"
1040,army,ˈärmē,noun,hadsereg,"field army|the military|soldiery|military personnel|armed forces|ground forces|land forces","katonaság|szárazföldi csapatok|szárazföldi erő"
1041,aroma,əˈrōmə,noun,aroma,flavor|flavoring|flavour|flavouring|fragrance|scent|perfume|odor|fragrancy|flavor|savor|flavour|savour,illat|zamat
1042,aromatic,ˌarəˈmatik,,aromás,,
1043,around,əˈround,preposition,körül,about|circa|near,körülbelül|közel
1044,arouse,əˈrouz,verb,felkelti,wake|awake|waken|excite|ruffle|madden,felébreszt|felizgat
1045,arrange,əˈrānj,verb,rendezni,"manage|administer|order|pigeonhole|dispose|settle|tidy up|negotiate|stipulate|come to terms","intéz|elrendez|elintéz|megállapodik|lépéseket tesz"
1046,arrangement,əˈrānjmənt,noun,elrendezés,layout|arranging|organization|composition|disposal|agreement|consensus|consistency|coincidence|congruence|adjustment|disposal,megegyezés|elintézés|végakarat
1047,arrant,ˈarənt,adjective,hírhedt,notorious,
1048,array,əˈrā,noun,sor,"line|row|range|rank|tier|presentation|display|demonstration|showing|production|order|battle formation|combat order|disposition|order of battle","bemutatás|esküdtszék beiktatása|harcrend"
1049,arrearage,,,hátraléknyilatkozatban,,
1050,arrears,əˈri(ə)rz,noun,lemaradás,lag|arrear,
1051,arrest,əˈrest,noun,letartóztatás,apprehension,leszorítás
1052,arrested,,adjective,letartóztatott,backward,visszamaradt
1053,arresting,əˈrestiNG,adjective,megragadó,,
1054,arrestment,,,reteszelést,,
1055,arrival,əˈrīvəl,noun,érkezés,,befutás
1056,arrive,əˈrīv,verb,megérkezik,"come in|check in|roll up","megjön|jut vmire"
1057,arriviste,,,újgazdag,,
1058,arrogance,ˈarəgəns,noun,gőg,pride|haughtiness|lordliness,
1059,arrogant,ˈarəgənt,adjective,arrogáns,haughty|overweening|lofty|lordly|stuck-up,gőgös
1060,arrogate,ˈarəˌgāt,verb,követel,"demand|claim|call for|necessitate|exact","tulajdonít vkinek vmit"
1061,arrogation,,,"magának azt",,
1062,arsenal,ˈärs(ə)-nl,noun,fegyverraktár,armory|armoury|armoury|armory|arms|arming|armor|armament|weaponry,fegyvergyár|fegyverzet
1063,arsonist,ˈärsənist,,gyújtogató,,
1064,art,ärt,noun,Művészet,dexterity|skill|artfulness|cleverness|deftness|talent|gift|ability|faculty|aptitude,művészet|ügyesség|tehetség
1065,arterial,ärˈti(ə)rēəl,adjective,artériás,,ütőéri
1066,artery,ˈärtərē,noun,artéria,,ütőér
1067,artful,ˈärtfəl,adjective,ügyes,clever|skillful|skilful|deft|good,
1068,artfully,,,művészien,,
1069,artfulness,,noun,ügyesség,dexterity|skill|cleverness|deftness|ingenuity,
1070,article,ˈärtikəl,noun,cikk,item|commodity|goods|thing|stuff|matter|object|work,árucikk|névelő|dolog
1071,articulate,,adjective,tagolt,,közérthető
1072,articulateness,,,articulateness,,
1073,articulation,ärˌtikyəˈlāSHən,noun,tagolás,pronunciation|vocalization|enunciation,kiejtés|összeilleszkedés
1074,artifice,ˈärtəfis,noun,csel,trick|ruse|dodge|cunning|cuteness|finesse|slyness|craftiness|shrewdness|acumen,ravaszság|eszesség
1075,artificer,ärˈtifəsər,noun,kézműves,craftsman|artisan|handicraftsman,
1076,artificial,ˌärtəˈfiSHəl,adjective,mesterséges,dummy|man-made|affected|sophisticated|unconstrained|factitious|prim,mesterkélt
1077,artillery,ärˈtilərē,adjective,tüzérségi,,
1078,artisan,ˈärtəzən,noun,kézműves,craftsman|handicraftsman|artificer|craftsman,mesterember
1079,artist,ˈärtist,noun,művész,,
1080,artistic,ärˈtistik,adjective,művészeti,artistical|artistical,művészi
1081,artistry,ˈärtistrē,noun,művésziesség,,
1082,artless,ˈärtlis,adjective,művészietlen,inartistic,
1083,artlessly,,,artlessly,,
1084,artlessness,,,ártatlanság,,
1085,as,"as,az",adverb,mint,qua,
1086,"as far as",,adverb,"addig, amíg",,amennyire|valameddig
1087,"as for",,,"mint a",,
1088,"as if",,conjunction,mintha,as,
1089,"as long as",,adverb,amíg,thither,addig
1090,"as regards",,adverb,illetően,,
1091,"as respects",,,tekintetben,,
1092,"as soon as",,adverb,amint,,mihelyt
1093,"as though",,adverb,mintha,,
1094,"as to",,conjunction,hogy,,"ami ... illeti"
1095,"as well as",,adjective,továbbá,,valamint
1096,ascend,əˈsend,verb,felemelkedik,"rise|lift off|uprise|take off|get on|soar|lift off|lift",felszáll
1097,ascendance,,,származás,,
1098,ascendancy,əˈsendənsē,noun,hatalom,power|authority|might|empire|potency|influence|impact|leverage|hold|inflow,befolyás
1099,ascendence,,,Ascendence,,
1100,ascendency,,,befolyás,,
1101,ascension,əˈsenSHən,noun,felemelkedés,ascent|uprise|raise|upheaval|levitation,
1102,ascent,əˈsent,noun,felemelkedés,ascension|uprise|raise|upheaval|levitation,"megmászás|meredek hegyoldal"
